type,input_size,num_threads,std_thread_sum,omp1_sum,omp_builtin_sum
i,1000,1,0.002050,0.000564,0.000113
i,1000,2,0.002767,0.000534,0.000473
i,1000,4,0.004012,0.001152,0.000809
i,1000,8,0.006893,0.001565,0.002769
i,1000,16,0.013001,0.002518,0.005086
i,10000,1,0.002050,0.000564,0.000113
i,10000,2,0.002767,0.000534,0.000473
i,10000,4,0.004012,0.001152,0.000809
i,10000,8,0.006893,0.001565,0.002769
i,10000,16,0.013001,0.002518,0.005086
i,100000,1,0.002050,0.000564,0.000113
i,100000,2,0.002767,0.000534,0.000473
i,100000,4,0.004012,0.001152,0.000809
i,100000,8,0.006893,0.001565,0.002769
i,100000,16,0.013001,0.002518,0.005086
i,1000000,1,0.002050,0.000564,0.000113
i,1000000,2,0.002767,0.000534,0.000473
i,1000000,4,0.004012,0.001152,0.000809
i,1000000,8,0.006893,0.001565,0.002769
i,1000000,16,0.013001,0.002518,0.005086
i,1000000000,1,0.002050,0.000564,0.000113
i,1000000000,2,0.002767,0.000534,0.000473
i,1000000000,4,0.004012,0.001152,0.000809
i,1000000000,8,0.006893,0.001565,0.002769
i,1000000000,16,0.013001,0.002518,0.005086
